year,region_id,region_name,total,male,female
2006,1,andalucía,7975672,3958565,4017107
2006,2,aragón,1277471,636659,640812
2006,3,asturias,1076896,516347,560549
2006,4,balears,1001062,501899,499163
2006,5,canarias,1995833,1001394,994439
2006,6,cantabria,568091,277869,290222
2006,7,castillayleón,2523020,1247158,1275862
2006,8,castillalamancha,1932261,970867,961394
2006,9,cataluña,7134697,3543706,3590991
2006,10,comunitatvalenciana,4806908,2394307,2412601
2006,11,extremadura,1086373,540352,546021
2006,12,galicia,2767524,1333797,1433727
2006,13,madrid,6008183,2908654,3099529
2006,14,murcia,1370306,697027,673279
2006,15,navarra,601874,300917,300957
2006,16,paísvasco,2133684,1043849,1089835
2006,17,rioja,306377,154556,151821
2006,18,ceuta,75861,38581,37280
2006,19,melilla,66871,33962,32909
2007,1,andalucía,8059461,3999243,4060218
2007,2,aragón,1296655,646996,649659
2007,3,asturias,1074862,515292,559570
2007,4,balears,1030650,517593,513057
2007,5,canarias,2025951,1015493,1010458
2007,6,cantabria,572824,280283,292541
2007,7,castillayleón,2528417,1251082,1277335
2007,8,castillalamancha,1977304,995668,981636
2007,9,cataluña,7210508,3578176,3632332
2007,10,comunitatvalenciana,4885029,2432162,2452867
2007,11,extremadura,1089990,541692,548298
2007,12,galicia,2772533,1337159,1435374
2007,13,madrid,6081689,2943778,3137911
2007,14,murcia,1392117,706326,685791
2007,15,navarra,605876,302330,303546
2007,16,paísvasco,2141860,1046795,1095065
2007,17,rioja,308968,155773,153195
2007,18,ceuta,76603,38913,37690
2007,19,melilla,69440,35208,34232
2008,1,andalucía,8202220,4071500,4130720
2008,2,aragón,1326918,664403,662515
2008,3,asturias,1080138,518291,561847
2008,4,balears,1072844,540395,532449
2008,5,canarias,2075968,1040137,1035831
2008,6,cantabria,582138,285469,296669
2008,7,castillayleón,2557330,1269338,1287992
2008,8,castillalamancha,2043100,1033131,1009969
2008,9,cataluña,7364078,3661028,3703050
2008,10,comunitatvalenciana,5029601,2508433,2521168
2008,11,extremadura,1097744,546192,551552
2008,12,galicia,2784169,1344268,1439901
2008,13,madrid,6271638,3040658,3230980
2008,14,murcia,1426109,722999,703110
2008,15,navarra,620377,310282,310095
2008,16,paísvasco,2157112,1055150,1101962
2008,17,rioja,317501,160342,157159
2008,18,ceuta,77389,39385,38004
2008,19,melilla,71448,36336,35112
2009,1,andalucía,8302923,4113383,4189540
2009,2,aragón,1345473,673819,671654
2009,3,asturias,1085289,520916,564373
2009,4,balears,1095426,551079,544347
2009,5,canarias,2103992,1052636,1051356
2009,6,cantabria,589235,288735,300500
2009,7,castillayleón,2563521,1272020,1291501
2009,8,castillalamancha,2081313,1051668,1029645
2009,9,cataluña,7475420,3713765,3761655
2009,10,comunitatvalenciana,5094675,2537898,2556777
2009,11,extremadura,1102410,547550,554860
2009,12,galicia,2796089,1349603,1446486
2009,13,madrid,6386932,3094874,3292058
2009,14,murcia,1446520,731609,714911
2009,15,navarra,630578,315486,315092
2009,16,paísvasco,2172175,1062412,1109763
2009,17,rioja,321702,162173,159529
2009,18,ceuta,78674,40118,38556
2009,19,melilla,73460,37244,36216
2010,1,andalucía,8370975,4144856,4226119
2010,2,aragón,1347095,673177,673918
2010,3,asturias,1084341,520402,563939
2010,4,balears,1106049,555204,550845
2010,5,canarias,2118519,1058706,1059813
2010,6,cantabria,592250,289931,302319
2010,7,castillayleón,2559515,1268860,1290655
2010,8,castillalamancha,2098373,1059149,1039224
2010,9,cataluña,7512381,3724515,3787866
2010,10,comunitatvalenciana,5111706,2542949,2568757
2010,11,extremadura,1107220,549721,557499
2010,12,galicia,2797653,1350547,1447106
2010,13,madrid,6458684,3124438,3334246
2010,14,murcia,1461979,738627,723352
2010,15,navarra,636924,318423,318501
2010,16,paísvasco,2178339,1064708,1113631
2010,17,rioja,322415,161884,160531
2010,18,ceuta,80579,41269,39310
2010,19,melilla,76034,38819,37215
2011,1,andaluc’a,8424102,4169634,4254468
2011,2,arag—n,1346293,671286,675007
2011,3,asturias,1081487,518571,562916
2011,4,balears,1113114,557577,555537
2011,5,canarias,2126769,1061591,1065178
2011,6,cantabria,593121,289872,303249
2011,7,castillayle—n,2558463,1267671,1290792
2011,8,castillalamancha,2115334,1066598,1048736
2011,9,catalu–a,7539618,3732196,3807422
2011,10,comunitatvalenciana,5117190,2541780,2575410
2011,11,extremadura,1109367,550864,558503
2011,12,galicia,2795422,1349591,1445831
2011,13,madrid,6489680,3132844,3356836
2011,14,murcia,1470069,741581,728488
2011,15,navarra,642051,320656,321395
2011,16,paísvasco,2184606,1066872,1117734
2011,17,rioja,322955,161582,161373
2011,18,ceuta,82376,42165,40211
2011,19,melilla,78476,40256,38220
2012,1,Andalucía,"8449985.0","4180285.0","4269700.0",
2012,2,Aragón,"1349467.0","671898.0","677569.0",
2012,3,Asturias (Principado de),"1077360.0","516420.0","560940.0",
2012,4,Balears (Illes),"1119439.0","560091.0","559348.0",
2012,5,Canarias,"2118344.0","1056240.0","1062104.0",
2012,6,Cantabria,"593861.0","289999.0","303862.0",
2012,7,Castilla y León,"2546078.0","1261141.0","1284937.0",
2012,8,Castilla - La Mancha,"2121888.0","1069648.0","1052240.0",
2012,9,Cataluña,"7570908.0","3741628.0","3829280.0",
2012,10,Comunitat Valenciana,"5129266.0","2546404.0","2582862.0",
2012,11,Extremadura,"1108130.0","550324.0","557806.0",
2012,12,Galicia,"2781498.0","1343328.0","1438170.0",
2012,13,Madrid (Comunidad de),"6498560.0","3130241.0","3368319.0",
2012,14,Murcia (Región de),"1474449.0","742727.0","731722.0",
2012,15,Navarra; Comunidad Foral de,"644566.0","321453.0","323113.0",
2012,16,País Vasco,"2193093.0","1070438.0","1122655.0",
2012,17,Rioja (La),"323609.0","161574.0","162035.0",
2012,18,Ceuta,"84018.0","42948.0","41070.0",
2012,19,Melilla,"80802.0","41569.0","39233.0",
2013,1,Andalucía,8440300,4170654,4269646
2013,2,Aragón,1347150,669987,677163
2013,3,"Asturias, Principado de",1068165,511346,556819
2013,4,"Balears, Illes",1111674,554603,557071
2013,5,Canarias,2118679,1055302,1063377
2013,6,Cantabria,591888,288643,303245
2013,7,Castilla y León,2519875,1246377,1273498
2013,8,Castilla - La Mancha,2100998,1056960,1044038
2013,9,Cataluña,7553650,3725318,3828332
2013,10,Comunitat Valenciana,5113815,2534539,2579276
2013,11,Extremadura,1104004,548054,555950
2013,12,Galicia,2765940,1335122,1430818
2013,13,"Madrid, Comunidad de",6495551,3123724,3371827
2013,14,"Murcia, Región de",1472049,739842,732207
2013,15,"Navarra, Comunidad Foral de",644477,320933,323544
2013,16,País Vasco,2191682,1068746,1122936
2013,17,"Rioja, La",322027,160159,161868
2013,18,Ceuta,84180,43060,41120
2013,19,Melilla,83679,43017,40662
